step,chosen_arm,reward,ucb_s1_a0,ucb_s2_a0,ucb_s3_a0,binding_a0,ucb_s1_a1,ucb_s2_a1,ucb_s3_a1,binding_a1,ucb_s1_a2,ucb_s2_a2,ucb_s3_a2,binding_a2,ucb_s1_a3,ucb_s2_a3,ucb_s3_a3,binding_a3,ucb_s1_a4,ucb_s2_a4,ucb_s3_a4,binding_a4,ucb_s1_a5,ucb_s2_a5,ucb_s3_a5,binding_a5,ucb_s1_a6,ucb_s2_a6,ucb_s3_a6,binding_a6
7,2,0.0,0.848261,2.442027,1.913034,s1,0.930544,1.442027,1.777174,s1,1.194457,1.442027,1.791593,s1,1.026801,1.442027,1.929822,s1,1.000174,1.442027,1.732628,s1,1.036014,1.442027,1.878287,s1,1.112165,1.442027,1.877418,s1
8,6,0.0,1.221157,2.482304,1.939248,s1,1.207676,1.482304,1.803388,s1,1.041853,1.048147,1.704607,s1,1.186084,1.482304,1.956037,s1,1.151717,1.482304,1.758843,s1,1.106596,1.482304,1.904502,s1,1.221304,1.482304,1.903633,s1
9,5,0.0,1.095427,2.517427,1.961778,s1,1.098666,1.517427,1.825918,s1,0.907988,1.072983,1.726178,s1,1.062019,1.517427,1.978567,s1,0.956336,1.517427,1.781373,s1,1.241723,1.517427,1.927032,s1,1.028281,1.072983,1.804852,s1
10,1,0.0,1.104048,2.548514,1.981494,s1,1.202907,1.548514,1.845634,s1,0.901628,1.094965,1.745055,s1,1.118332,1.548514,1.998283,s1,1.105429,1.548514,1.801089,s1,0.94708,1.094965,1.824525,s1,0.780846,1.094965,1.823728,s1
11,5,0.0,0.366239,2.576359,1.998994,s1,0.61464,1.114654,1.748592,s1,0.764019,1.114654,1.761809,s1,0.589357,1.576359,2.015782,s1,0.730985,1.576359,1.818588,s1,0.8673,1.114654,1.84128,s1,0.722113,1.114654,1.840483,s1
12,0,1.0,1.183326,2.601546,2.014706,s1,1.021589,1.132464,1.763636,s1,0.970286,1.132464,1.776853,s1,1.068217,1.601546,2.031495,s1,1.084954,1.601546,1.834301,s1,1.026491,0.924653,1.750147,s2,0.867012,1.132464,1.855526,s1
13,0,0.0,1.054191,2.148707,1.985143,s1,0.99555,1.148707,1.777272,s1,0.929751,1.148707,1.790489,s1,0.967943,1.624518,2.045737,s1,0.91469,1.624518,1.848543,s1,1.003417,0.937916,1.763248,s2,1.039089,1.148707,1.869162,s1
14,3,0.0,1.109252,1.616763,1.625132,s1,1.052197,1.163626,1.789731,s1,1.113541,1.163626,1.802948,s1,1.323556,1.645615,2.05875,s1,1.064144,1.645615,1.861556,s1,1.072325,0.950097,1.775218,s2,1.226137,1.163626,1.881621,s2
15,6,0.0,0.809645,1.628018,1.636143,s1,0.958533,1.17741,1.801191,s1,0.893538,1.17741,1.814409,s1,0.99214,1.17741,1.941119,s1,0.890133,1.665109,1.873526,s1,1.090473,0.961351,1.786229,s2,1.055897,1.17741,1.893082,s1
16,0,0.0,1.126793,1.638471,1.646331,s1,1.012098,1.190213,1.811795,s1,1.062887,1.190213,1.825013,s1,1.00324,1.190213,1.951723,s1,1.073085,1.683215,1.884602,s1,1.040137,0.971805,1.796417,s2,1.063149,0.971805,1.795682,s2
17,0,1.0,1.17959,1.350055,1.453158,s1,1.045718,1.202159,1.821657,s1,0.800242,1.202159,1.834874,s1,1.117008,1.202159,1.961585,s1,0.990649,1.700109,1.894902,s1,0.897424,0.981559,1.805892,s1,0.764479,0.981559,1.805157,s1
18,6,0.0,0.852356,1.36739,1.529078,s1,0.726299,1.213351,1.830869,s1,0.773058,1.213351,1.844086,s1,0.778149,1.213351,1.970797,s1,0.705745,1.715937,1.904524,s1,0.794654,0.990697,1.814743,s1,0.890694,0.990697,1.814007,s1
19,4,0.0,1.010004,1.374046,1.536805,s1,1.053874,1.223873,1.839508,s1,0.943363,1.223873,1.852725,s1,1.024287,1.223873,1.979436,s1,1.054379,1.730818,1.913547,s1,1.096004,0.999288,1.823043,s2,0.925396,0.865409,1.727416,s2
20,3,0.0,0.748755,1.380323,1.544077,s1,0.890856,1.2338,1.847639,s1,0.720186,1.2338,1.860856,s1,1.059324,1.2338,1.987567,s1,0.813916,1.2338,1.806805,s1,0.747411,1.007393,1.830854,s1,0.713781,0.872428,1.734943,s1
21,1,0.0,1.009203,1.386262,1.550943,s1,1.046047,1.24319,1.855315,s1,0.93643,1.24319,1.868532,s1,0.96526,1.01506,1.881836,s1,1.035939,1.24319,1.814481,s1,1.056138,1.01506,1.838229,s2,1.17978,0.879068,1.74205,s2
22,1,0.0,0.824876,1.391896,1.557443,s1,0.920508,1.022333,1.759654,s1,0.808544,1.252097,1.8758,s1,0.868162,1.022333,1.888819,s1,0.861283,1.252097,1.821749,s1,0.906773,1.022333,1.845212,s1,0.66891,0.885366,1.748778,s1
23,2,0.0,0.964426,1.397252,1.563614,s1,1.197346,0.891355,1.676402,s2,1.104749,1.260566,1.882699,s1,1.132845,1.029248,1.895447,s2,1.096543,1.260566,1.828648,s1,1.132769,1.029248,1.85184,s2,1.064001,0.891355,1.755166,s2
24,5,0.0,0.381715,1.402356,1.569485,s1,0.680618,0.897061,1.682479,s1,0.883521,1.035837,1.78479,s1,0.622119,1.035837,1.901753,s1,0.896274,1.268636,1.835212,s1,0.907972,1.035837,1.858147,s1,0.811313,0.897061,1.761243,s1
25,3,0.0,0.860936,1.407229,1.575083,s1,0.940797,0.90251,1.688274,s2,0.971978,1.042129,1.790803,s1,0.984936,1.042129,1.907767,s1,0.956976,1.276342,1.841471,s1,1.046878,0.90251,1.76772,s2,1.02325,0.90251,1.767037,s2
26,0,1.0,1.081601,1.411891,1.580431,s1,0.919868,0.907722,1.69381,s2,0.829693,1.048147,1.796548,s1,0.931525,0.907722,1.813748,s2,0.821048,1.283713,1.84745,s1,0.939352,0.907722,1.773256,s2,0.736892,0.907722,1.772573,s1
27,0,1.0,1.243229,1.411896,1.620922,s1,0.941894,0.912716,1.699109,s2,0.919104,1.053914,1.802047,s1,0.969976,0.912716,1.819047,s2,0.722337,1.290776,1.853174,s1,0.994722,0.912716,1.778555,s2,0.942812,0.912716,1.777872,s2
28,1,0.0,0.848995,1.407858,1.644659,s1,0.961311,0.91751,1.704189,s2,0.902819,1.059449,1.807319,s1,0.831422,0.91751,1.824127,s1,0.875784,1.297555,1.858661,s1,1.023011,0.91751,1.783635,s2,0.893265,0.91751,1.782952,s1
29,2,0.0,0.973793,1.41134,1.649086,s1,0.88611,0.824766,1.628874,s2,0.991473,1.064769,1.812381,s1,0.929648,0.922117,1.829005,s2,0.94995,1.30407,1.86393,s1,1.015267,0.922117,1.788513,s2,0.88604,0.922117,1.78783,s1
30,0,1.0,1.222682,1.414692,1.653343,s1,1.203804,0.828732,1.633405,s2,1.105119,0.926551,1.725087,s2,1.126276,0.926551,1.833696,s2,1.156433,1.310341,1.868997,s1,1.228337,0.926551,1.793204,s2,1.117611,0.926551,1.792521,s2
31,0,1.0,1.334051,1.408192,1.666583,s1,1.075106,0.832555,1.637769,s2,0.943354,0.930824,1.729604,s2,1.034363,0.930824,1.838213,s2,1.025532,1.316384,1.873876,s1,1.171106,0.930824,1.797721,s2,0.932795,0.930824,1.797038,s2
